id,name,russian,url,kind,score,status,episodes,episodes_aired,aired_on,released_on
16498,Shingeki no Kyojin,Атака титанов,/animes/16498-shingeki-no-kyojin,tv,8.57,released,25,25,2013-04-07,2013-09-29
1535,Death Note,Тетрадь смерти,/animes/1535-death-note,tv,8.62,released,37,0,2006-10-04,2007-06-27
5114,Fullmetal Alchemist: Brotherhood,Стальной алхимик: Братство,/animes/z5114-fullmetal-alchemist-brotherhood,tv,9.1,released,64,0,2009-04-05,2010-07-04
30276,One Punch Man,Ванпанчмен,/animes/z30276-one-punch-man,tv,8.48,released,12,12,2015-10-05,2015-12-21
38000,Kimetsu no Yaiba,"Клинок, рассекающий демонов",/animes/z38000-kimetsu-no-yaiba,tv,8.42,released,26,26,2019-04-06,2019-09-28
11757,Sword Art Online,Мастера Меча Онлайн,/animes/z11757-sword-art-online,tv,7.22,released,25,25,2012-07-08,2012-12-23
31964,Boku no Hero Academia,Моя геройская академия,/animes/31964-boku-no-hero-academia,tv,7.83,released,13,13,2016-04-03,2016-06-26
11061,Hunter x Hunter (2011),Охотник х Охотник (2011),/animes/z11061-hunter-x-hunter-2011,tv,9.03,released,148,148,2011-10-02,2014-09-24
20,Naruto,Наруто,/animes/z20-naruto,tv,8.01,released,220,0,2002-10-03,2007-02-08
22319,Tokyo Ghoul,Токийский гуль,/animes/22319-tokyo-ghoul,tv,7.79,released,12,12,2014-07-04,2014-09-19
32281,Kimi no Na wa.,Твоё имя,/animes/32281-kimi-no-na-wa,movie,8.83,released,1,1,2016-08-26,
25777,Shingeki no Kyojin Season 2,Атака титанов 2,/animes/25777-shingeki-no-kyojin-season-2,tv,8.53,released,12,12,2017-04-01,2017-06-17
40748,Jujutsu Kaisen,Магическая битва,/animes/40748-jujutsu-kaisen,tv,8.52,released,24,24,2020-10-03,2021-03-27
9253,Steins;Gate,Врата Штейна,/animes/z9253-steins-gate,tv,9.07,released,24,24,2011-04-06,2011-09-14
1735,Naruto: Shippuuden,Наруто: Ураганные хроники,/animes/z1735-naruto-shippuuden,tv,8.29,released,500,58,2007-02-15,2017-03-23
33486,Boku no Hero Academia 2nd Season,Моя геройская академия 2,/animes/33486-boku-no-hero-academia-2nd-season,tv,8.05,released,25,25,2017-04-01,2017-09-30
21,One Piece,Ван-Пис,/animes/21-one-piece,tv,8.73,ongoing,0,1155,1999-10-20,
35760,Shingeki no Kyojin Season 3,Атака титанов 3,/animes/35760-shingeki-no-kyojin-season-3,tv,8.64,released,12,12,2018-07-23,2018-10-15
28851,Koe no Katachi,Форма голоса,/animes/y28851-koe-no-katachi,movie,8.93,released,1,0,2016-09-17,
19815,No Game No Life,Нет игры — нет жизни,/animes/z19815-no-game-no-life,tv,8.04,released,12,12,2014-04-09,2014-06-25
38524,Shingeki no Kyojin Season 3 Part 2,Атака титанов 3. Часть 2,/animes/38524-shingeki-no-kyojin-season-3-part-2,tv,9.05,released,10,10,2019-04-29,2019-07-01
1575,Code Geass: Hangyaku no Lelouch,Код Гиас: Восставший Лелуш,/animes/1575-code-geass-hangyaku-no-lelouch,tv,8.71,released,25,0,2006-10-06,2007-07-29
31240,Re:Zero kara Hajimeru Isekai Seikatsu,Re:Zero. Жизнь с нуля в альтернативном мире,/animes/z31240-re-zero-kara-hajimeru-isekai-seikatsu,tv,8.24,released,25,25,2016-04-04,2016-09-19
23273,Shigatsu wa Kimi no Uso,Твоя апрельская ложь,/animes/z23273-shigatsu-wa-kimi-no-uso,tv,8.64,released,22,22,2014-10-10,2015-03-20
36456,Boku no Hero Academia 3rd Season,Моя геройская академия 3,/animes/36456-boku-no-hero-academia-3rd-season,tv,7.98,released,25,25,2018-04-07,2018-09-29
4224,Toradora!,Торадора!,/animes/4224-toradora,tv,8.04,released,25,0,2008-10-02,2009-03-26
